B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
1460.0,1739.0,2129.0,3052.0,2832.0,3143.0,3302.0,3718.0,3504.0,1205.0,19.0,4028.0,3445.0,13.93
1562.0,1547.0,1725.0,2162.0,2230.0,2379.0,2637.0,2632.0,2921.0,892.0,18.0,4085.0,3089.0,0.86
1096.0,786.0,563.0,329.0,284.0,261.0,258.0,215.0,218.0,82.0,10.0,95.0,80.0,11.7
1413.0,1293.0,1091.0,888.0,837.0,846.0,868.0,846.0,847.0,273.0,13.0,707.0,537.0,3.61
1531.0,1501.0,1628.0,2063.0,2159.0,2369.0,2577.0,2514.0,2818.0,754.0,18.0,3852.0,3158.0,6.88
1669.0,1649.0,1804.0,2232.0,2328.0,2489.0,2745.0,2634.0,3023.0,805.0,16.0,3901.0,2846.0,2.92
1859.0,2196.0,2501.0,3177.0,3389.0,3744.0,3926.0,3752.0,4165.0,1373.0,19.0,4214.0,3562.0,9.46
1489.0,1515.0,1811.0,2556.0,2666.0,2875.0,3054.0,2934.0,3081.0,1244.0,19.0,3739.0,2989.0,2.41
2433.0,2750.0,2933.0,3490.0,3151.0,3502.0,3709.0,3700.0,3931.0,828.0,17.0,3773.0,3256.0,2.06
1743.0,1883.0,1891.0,2158.0,2028.0,2231.0,2305.0,2365.0,2401.0,975.0,15.0,2523.0,2030.0,11.35
1630.0,1955.0,2006.0,2225.0,2141.0,2452.0,2478.0,2644.0,2611.0,984.0,14.0,2623.0,2113.0,1.89
1431.0,1658.0,1748.0,1901.0,1931.0,2136.0,2241.0,2286.0,2484.0,1077.0,16.0,3601.0,2817.0,25.77
1627.0,1588.0,1570.0,1983.0,1939.0,2300.0,2519.0,2381.0,2516.0,701.0,14.0,2801.0,2229.0,32.83
1566.0,1630.0,1757.0,2193.0,2285.0,2658.0,2855.0,2675.0,3029.0,886.0,13.0,3278.0,2748.0,41.11
2108.0,2383.0,2411.0,2857.0,2413.0,2752.0,2852.0,2944.0,2884.0,876.0,13.0,3058.0,2374.0,2.05
1799.0,2316.0,2406.0,2595.0,4018.0,4292.0,4267.0,2775.0,4494.0,912.0,12.0,4070.0,3780.0,53.41
2039.0,1996.0,2120.0,2353.0,2388.0,2667.0,2939.0,2731.0,2948.0,1019.0,17.0,3334.0,2845.0,13.05
1626.0,1790.0,2137.0,3000.0,3060.0,3353.0,3624.0,3465.0,3869.0,648.0,16.0,4304.0,3599.0,24.34
1631.0,1746.0,2056.0,2808.0,3005.0,3330.0,3511.0,3276.0,3774.0,649.0,16.0,4322.0,3681.0,21.21
1691.0,1451.0,1315.0,1373.0,1354.0,1480.0,1608.0,1666.0,1710.0,1099.0,18.0,2017.0,1060.0,9.18
1718.0,1629.0,1641.0,1925.0,1858.0,2129.0,2343.0,2007.0,2458.0,1022.0,18.0,2739.0,2118.0,6.98
1330.0,1332.0,1451.0,1853.0,2057.0,2235.0,2397.0,2230.0,2483.0,873.0,11.0,2612.0,2192.0,7.76
