,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
389,43.6008,-8.117,0.04225138435864371,6325.0,6013.0,5877.0,6313.0,6359.0,6882.0,7219.0,6870.0,7428.0,3093.0,39.0,5106.0,3432.0,5.7
390,43.5841,-7.9836,0.05751729159082636,5261.0,5372.0,5009.0,5178.0,5214.0,5660.0,5895.0,5810.0,6008.0,2354.0,73.0,4532.0,3429.0,6.6
391,43.4841,-8.0503,0.0356272838002436,6478.0,6308.0,5964.0,6334.0,6442.0,6828.0,7118.0,6802.0,7250.0,2699.0,28.0,5148.0,3467.0,4.7
392,40.3507,-2.55,0.17400784997819452,1420.0,1313.0,1487.0,1894.0,1926.0,2515.0,2850.0,2692.0,3069.0,1208.0,17.0,3005.0,2029.0,7.9
393,40.084,-2.7,0.18064930890388942,1706.0,1670.0,1889.0,2549.0,3007.0,3411.0,3753.0,3673.0,4154.0,1551.0,17.0,4227.0,3120.0,7.6
394,40.034,-1.8999,0.19992105782514308,1440.0,1532.0,1573.0,2027.0,2198.0,2682.0,2954.0,3040.0,3398.0,1114.0,15.0,3647.0,2536.0,7.3
395,39.9674,-1.9833,0.12190247801758593,1406.0,1259.0,1488.0,2197.0,2385.0,2730.0,2988.0,2807.0,3245.0,898.0,16.0,4294.0,3377.0,7.6
396,39.5173,-2.7333,0.16578445903027736,1420.0,1324.0,1461.0,1970.0,2172.0,2446.0,2702.0,2753.0,3000.0,1492.0,22.0,3481.0,1895.0,8.2
397,39.4673,-2.7167,0.13191273465246067,1447.0,1227.0,1301.0,1711.0,1808.0,2031.0,2233.0,2231.0,2513.0,1335.0,24.0,3553.0,2938.0,8.6
398,39.384,-2.75,0.0999331550802139,1524.0,1388.0,1720.0,2693.0,2947.0,3257.0,3465.0,3291.0,3659.0,1713.0,24.0,4655.0,3875.0,8.7
