,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Ca [mg/kg]
79,36.9506,-2.4833,0.11716621253405994,1631.0,1663.0,1666.0,1944.0,2002.0,2321.0,2528.0,2460.0,2773.0,877.0,15.0,2797.0,2116.0,580.0
80,37.0006,-2.3333,0.16097952629466078,1217.0,1030.0,961.0,1045.0,1202.0,1415.0,1522.0,1446.0,1676.0,645.0,13.0,1922.0,1295.0,1340.0
81,36.9173,-2.2166,0.12474622152041506,1928.0,1653.0,1705.0,1940.0,2187.0,2508.0,2701.0,2493.0,2788.0,896.0,21.0,2675.0,2114.0,900.0
82,36.8673,-2.15,0.09181886414811108,1682.0,1507.0,1519.0,1815.0,2006.0,2149.0,2329.0,2182.0,2505.0,808.0,20.0,3170.0,2566.0,760.0
83,36.8506,-2.0833,0.15161676646706587,1545.0,1477.0,1514.0,1771.0,2026.0,2401.0,2641.0,2404.0,2723.0,859.0,20.0,3415.0,2442.0,2620.0
84,37.0006,-1.9666,0.1275980005261773,1617.0,1514.0,1459.0,1658.0,1876.0,2030.0,2209.0,2143.0,2373.0,749.0,15.0,2892.0,2112.0,1180.0
85,36.8839,-2.0333,0.17386298215313759,1530.0,1315.0,1305.0,1435.0,1634.0,1907.0,2041.0,2039.0,2214.0,703.0,16.0,2484.0,1743.0,1980.0
86,36.7673,-3.1167,0.10170178282009724,1628.0,1640.0,1864.0,2217.0,2145.0,2591.0,2773.0,2719.0,2840.0,825.0,13.0,2651.0,2004.0,920.0
87,36.8173,-2.9333,0.1685836345711469,1416.0,1183.0,1134.0,1265.0,1446.0,1765.0,1887.0,1778.0,2115.0,621.0,13.0,2404.0,1647.0,2460.0
88,36.7173,-2.6833,0.06763157894736842,3878.0,3361.0,3236.0,3543.0,3497.0,3995.0,4192.0,4057.0,4443.0,1360.0,17.0,3409.0,2360.0,1760.0
89,36.7506,-2.6333,0.012219286657859974,2190.0,2750.0,2716.0,2991.0,2910.0,3079.0,3183.0,3065.0,3284.0,842.0,16.0,3021.0,2128.0,1440.0
90,36.8339,-2.25,0.09540636042402827,1687.0,1518.0,1548.0,1920.0,2111.0,2321.0,2551.0,2325.0,2747.0,878.0,21.0,3264.0,2573.0,1020.0
91,36.7673,-2.2,0.08714107365792759,1569.0,1390.0,1405.0,1828.0,1923.0,2097.0,2258.0,2177.0,2337.0,707.0,16.0,3190.0,2572.0,1800.0
92,36.7839,-2.2333,0.08687615526802218,1518.0,1394.0,1408.0,1729.0,1727.0,1913.0,2082.0,2058.0,2215.0,686.0,17.0,2253.0,1784.0,4440.0
93,36.8173,-2.0666,0.07361041562343515,1592.0,1514.0,1535.0,1850.0,1792.0,1898.0,2040.0,2144.0,2201.0,706.0,18.0,2675.0,2030.0,4640.0
94,43.4175,-5.0334,0.01202825685737924,7605.0,7604.0,7253.0,7762.0,7697.0,7988.0,8311.0,7951.0,8461.0,2937.0,56.0,5423.0,3699.0,300.0
95,43.3174,-5.1001,0.005058168942842691,7832.0,7818.0,7431.0,7868.0,7784.0,8008.0,8278.0,7948.0,8347.0,2988.0,58.0,4674.0,3408.0,100.0
96,43.3008,-5.0835,0.009733443603282651,7739.0,7810.0,7350.0,7783.0,7699.0,7884.0,8183.0,7936.0,8303.0,3015.0,56.0,4594.0,3438.0,9200.0
97,43.0674,-5.4335,0.025636643308836096,5986.0,5735.0,5403.0,5701.0,5835.0,6059.0,6323.0,6001.0,6420.0,2564.0,28.0,3488.0,2084.0,720.0
98,43.1508,-5.1335,0.04046920821114369,5931.0,5887.0,5473.0,5726.0,5824.0,6080.0,6355.0,6209.0,6469.0,2616.0,51.0,4049.0,2899.0,100.0
